id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2042431,Yaletown 1BD Condo @ Homer & Robson,9582918,Sandy,,Downtown,49.27816147076787,-123.11828871452924,Entire home/apt,150,30,117,2018-07-31,2.08,1,253
2055456,Comfortable room available in East Vancouver,1886797,Carrol,,Kensington-Cedar Cottage,49.23980265260049,-123.0846268632244,Private room,33,30,1,2018-05-31,0.30,3,237
2056676,Cozy Modern apartment in Yaletown,7338933,Sadiq,,Downtown,49.27376118945093,-123.11638932159914,Entire home/apt,117,30,85,2018-06-04,1.49,2,311
2076269,Cozy Room On Hip East Side,6329283,Ruby,,Kensington-Cedar Cottage,49.256115383978944,-123.08068370031792,Private room,33,30,14,2018-08-03,0.27,4,69
2083842,Relaxing Private room near beach,2556310,Benjamin,,Kitsilano,49.26988390512511,-123.1585525546041,Private room,64,31,81,2018-08-15,1.44,1,93
2092610,A spacious modern apartment,1172047,Trevor,,Mount Pleasant,49.2666415265791,-123.0955460751999,Entire home/apt,130,30,21,2018-08-15,0.38,2,122
2163742,Garden Patio condo near Downtown transit central,5656886,Brandi,,Grandview-Woodland,49.26315858898873,-123.07423553731412,Private room,49,2,87,2018-08-17,1.61,2,125
2168943,South Granville 2 bedroom townhome,11065739,Catherine,,Fairview,49.25993308913685,-123.1440383862499,Entire home/apt,164,7,14,2018-03-19,0.25,1,0
2183209,Kitsilano PENTHOUSE,11132986,Daniel,,Kitsilano,49.26635470057864,-123.15758789110902,Entire home/apt,210,7,57,2018-08-31,1.08,1,307
2188113,5 star Luxury ShangriLa hotel condo,477297,Hanna & Michael,,West End,49.2850311884721,-123.12318390003864,Entire home/apt,800,7,32,2018-08-17,0.59,1,360
2209045,Excellent  Rooms Centrally Located,2456973,Jeanette,,Fairview,49.25892620177908,-123.13171466649736,Private room,89,30,6,2018-09-01,0.13,7,337
2216062,Bright Kitsilano Garden Apartment,11304608,Julie,,Kitsilano,49.270427954119064,-123.18425310433085,Entire home/apt,85,30,37,2018-08-24,0.73,1,12
2267569,"2BD/2BA, West End Apt. with a View",6818695,Alissa,,West End,49.2863455720218,-123.12686580577943,Entire home/apt,160,30,179,2018-08-15,3.23,2,281
2272521,3 bedroom house in Strathcona,3747829,Tina,,Downtown Eastside,49.2810582780765,-123.07819399192009,Entire home/apt,400,3,2,2018-08-25,2,1,0
2273028,2BDR Downtown w/ Parking,4292229,Adam & Sophie,,Downtown,49.288470182436484,-123.12320544402479,Entire home/apt,210,31,290,2018-08-09,5.23,1,111
2273714,Charming Apartment just off Commercial Drive,1710238,Donne,,Grandview-Woodland,49.27223577953433,-123.06930513763238,Entire home/apt,200,2,25,2018-08-20,0.47,1,40
2278806,PRIVATE FURNISHED ROOM,11636964,Raymond,,Victoria-Fraserview,49.225496993257266,-123.05524490714052,Private room,50,30,11,2018-08-15,0.21,2,49
